f1,recall,precision
0.8624036540103484,0.8356846473029046,0.8908876437629017
0.8625160279237061,0.837344398340249,0.8892479435957696
0.8627394909917797,0.8345781466113417,0.8928677123409293
0.8625213918991012,0.8365145228215768,0.890197232852517
0.8626499143341665,0.8356846473029046,0.8914133962820892
0.8630490956067359,0.8315352697095436,0.8970456580125336
0.8598077199019258,0.8287690179806363,0.8932617769827073
0.8628620102209653,0.8406639004149378,0.8862642169728784
0.8620541469698487,0.8323651452282158,0.8939393939393939
0.8631879914219452,0.8351313969571231,0.8931952662721894
0.8628066172271102,0.8367911479944675,0.8904916102443332
0.8622081291433463,0.8273858921161825,0.9000902798675895
0.8626891236078362,0.8359612724757953,0.8911825420230021
0.8610354223428249,0.8304287690179807,0.8939845145920191
0.8627394909917797,0.8345781466113417,0.8928677123409293
0.8623695869653429,0.8345781466113417,0.8920756948551153
0.8621185952787179,0.8284923928077456,0.8985898589858986
0.8614103116467792,0.8295988934993085,0.8957586618876942
0.8624588521535008,0.8334716459197787,0.8935349940688019
0.8619750609139337,0.8318118948824343,0.8944080904223677
0.8627113786180158,0.8326417704011065,0.8950341956586381
0.8613762644246322,0.8362378976486861,0.8880728554641598
0.8612824558881823,0.8304287690179807,0.8945172824791419
0.8625932300626102,0.8318118948824343,0.8957402442657134
0.8619102416565778,0.8287690179806363,0.8978124063530117
0.8624875053543484,0.8354080221300139,0.8913813459268005
0.8630799886132208,0.8387275242047026,0.8888888888888888
0.8623800658737667,0.8329183955739973,0.8940023752969121
0.8623198744466398,0.8359612724757953,0.8903948143783147
0.8626609442055092,0.8340248962655602,0.8933333333333333
0.8630490956067359,0.8315352697095436,0.8970456580125336
0.8625943329056659,0.8378976486860304,0.8887910798122066
0.8627843754466319,0.8340248962655602,0.8935981031416717
0.8622668579621978,0.8312586445366529,0.8956780923994039
0.8620492272462094,0.833195020746888,0.8929736139934776
0.8616884047579928,0.8315352697095436,0.8941106484235574
0.8629470672384133,0.8343015214384509,0.8936296296296297
0.8605315804510582,0.8329183955739973,0.890038427431274
0.8614405553943519,0.823789764868603,0.9026977872082449
0.86219181986554,0.8367911479944675,0.8891828336272781
0.8629020729087215,0.8348547717842324,0.8928994082840237
0.8624300674216783,0.8315352697095436,0.8957091775923719
0.8626725487400725,0.8384508990318119,0.888335287221571
0.8620886981397009,0.8334716459197787,0.8927407407407407
