stage,F1,F1_std,AUC,AUC_std,Recall,Precision,Threshold,TP,FP,FN
A0_RawStat,0.3321,0.0138,0.7406,0.0065,0.3571,0.3103,0.5950,1291,2869,2324
A1_EnhancedFeatures,0.5202,0.0108,0.9189,0.0040,0.7801,0.3901,0.5950,2820,4408,795
A2_ExpertA_GBDT,0.5811,0.0042,0.9305,0.0047,0.7867,0.4607,0.2200,2844,3329,771
A3_SelfOOF_Stacking,0.6213,0.0076,0.9349,0.0044,0.6523,0.5931,0.3100,2358,1618,1257
A4_ExternalOOF,0.8515,0.0100,0.9857,0.0018,0.8254,0.8792,0.7000,2984,410,631
A5_FullPipeline,0.8595,0.0095,0.9869,0.0017,0.8373,0.8828,0.4400,3027,402,588
